Date,Store No,Format,Sq Ft,Total POS Actuals,Store Holiday
10/5/2012,389,GRN,125978,578290.00,0
10/12/2012,389,GRN,125978,556591.00,0
10/19/2012,389,GRN,125978,560444.00,0
10/26/2012,389,GRN,125978,563265.00,0
10/5/2012,421,RED,206060,1412808.00,0
10/12/2012,421,RED,206060,1357601.00,0
10/19/2012,421,RED,206060,1325894.00,0
10/26/2012,421,RED,206060,1326910.00,0
10/5/2012,426,RED,204746,1544724.00,0
10/12/2012,426,RED,204746,1477763.00,0
10/19/2012,426,RED,204746,1449656.00,0
10/26/2012,426,RED,204746,1448149.00,0
10/5/2012,559,GRN,39633,448349.00,0
10/12/2012,559,GRN,39633,415596.00,0
10/19/2012,559,GRN,39633,429305.00,0
10/26/2012,559,GRN,39633,410224.00,0
10/5/2012,756,RED,42151,281929.00,0
10/12/2012,756,RED,42151,305028.00,0
10/19/2012,756,RED,42151,292152.00,0
10/26/2012,756,RED,42151,277281.00,0
10/5/2012,772,GRN,95429,957401.00,0
10/12/2012,772,GRN,95429,924670.00,0
10/19/2012,772,GRN,95429,962148.00,0
10/26/2012,772,GRN,95429,948257.00,0
10/5/2012,788,RED,205248,1207567.00,0
10/12/2012,788,RED,205248,1181473.00,0
10/19/2012,788,RED,205248,1956467.00,0
10/26/2012,788,RED,205248,1224771.00,0
10/5/2012,820,RED,209740,1427586.00,0
10/12/2012,820,RED,209740,1316757.00,0
10/19/2012,820,RED,209740,1236865.00,0
10/26/2012,820,RED,209740,1205521.00,0
10/5/2012,930,RED,157324,1073904.00,0
10/12/2012,930,RED,157324,987315.00,0
10/19/2012,930,RED,157324,922962.00,0
10/26/2012,930,RED,157324,926056.00,0
10/5/2012,963,GRN,120462,738247.00,0
10/12/2012,963,GRN,120462,1297777.00,0
10/19/2012,963,GRN,120462,722917.00,0
10/26/2012,963,GRN,120462,765073.00,0
10/5/2012,1061,RED,205983,2251204.00,0
10/12/2012,1061,RED,205983,2167743.00,0
10/19/2012,1061,RED,205983,2770064.00,0
10/26/2012,1061,RED,205983,2036442.00,0
10/5/2012,1225,RED,205991,1368157.00,0
10/12/2012,1225,RED,205991,1405905.00,0
10/19/2012,1225,RED,205991,1383522.00,0
10/26/2012,1225,RED,205991,1345024.00,0
10/5/2012,1231,GRN,114479,984618.00,0
10/12/2012,1231,GRN,114479,939709.00,0
10/19/2012,1231,GRN,114479,965737.00,0
10/26/2012,1231,GRN,114479,979489.00,0
10/5/2012,1246,GRN,122894,1096996.00,0
10/12/2012,1246,GRN,122894,1078871.00,0
10/19/2012,1246,GRN,122894,1053498.00,0
10/26/2012,1246,GRN,122894,1132308.00,0
10/5/2012,1303,GRN,72954,1034365.00,0
10/12/2012,1303,GRN,72954,508256.00,0
10/19/2012,1303,GRN,72954,521216.00,0
10/26/2012,1303,GRN,72954,500335.00,0
10/5/2012,1387,GRN,95879,525424.00,0
10/12/2012,1387,GRN,95879,518529.00,0
10/19/2012,1387,GRN,95879,521701.00,0
10/26/2012,1387,GRN,95879,539762.00,0
10/5/2012,1423,GRN,128753,1763763.00,0
10/12/2012,1423,GRN,128753,1718681.00,0
10/19/2012,1423,GRN,128753,1739626.00,0
10/26/2012,1423,GRN,128753,1749141.00,0
10/5/2012,1451,BLU,45229,451543.00,0
10/12/2012,1451,BLU,45229,439385.00,0
10/19/2012,1451,BLU,45229,442329.00,0
10/26/2012,1451,BLU,45229,444216.00,0
10/5/2012,1454,RED,157319,990835.00,0
10/12/2012,1454,RED,157319,940475.00,0
10/19/2012,1454,RED,157319,912570.00,0
10/26/2012,1454,RED,157319,904965.00,0
10/5/2012,1469,BLU,41931,597954.00,0
10/12/2012,1469,BLU,41931,617172.00,0
10/19/2012,1469,BLU,41931,546199.00,0
10/26/2012,1469,BLU,41931,519548.00,0
